...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
271,272,Antonio Callaway,,,WR95,,,,271,,292,280.7,00-0034772,WR,2017,--,20,2018,-1,--,0.004,105,5,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,Ryan Switzer,,,WR96,,,,,,160,160,00-0033562,WR,2017,1.0,22,2017,0.084375,8.992381,0.004,133,3.5,7,6,41,6.833333333333333,0,0,4,5,0.8333333333333334,0,1,0,6
286,287,DJ Chark Jr.,ATL,8,WR97,,,,319,,264,290.3,00-0034777,WR,2017,--,20,2018,-1,--,0.006,61,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0
287,288,Jakeem Grant Sr.,,,WR98,,,,,,183,183,00-0032791,WR,2017,1.0,24,2016,0.12812500000000002,49.7,0.004,186,1.3,22,13,203,22.555555555555557,3,2,3,12,1.3333333333333333,0,0,2,9
290,291,Andre Roberts,,,WR99,,,,,,185,185,00-0027691,WR,2017,0.8863636363636364,29,2010,0.030625,1.2100002,0.006,88,6.1,4,1,12,3,0,0,0,0,0,0,1,0,4
292,293,Kevin White,,,WR100,,,,277,,299,293.3,00-0031545,WR,2017,0.15625,25,2015,0.7,,0.028999999999999998,,0,4,2,6,6,0,0,0,0,0,0,0,0,1
293,294,Laquon Treadwell,IND,9,WR101,,,,250,,322,294.7,00-0032951,WR,2017,1.0,22,2016,0.453125,6.83859,0.016,23,14.6,35,20,200,15.384615384615385,2,0,0,0,0,0,0,0,13
297,298,Willie Snead,IV,,WR102,,,,,,238,273,00-0030663,WR,2017,0.9387755102040817,24,2014,0.3690909090909091,1.842857,0.02,,0,16,8,92,13.142857142857142,2,0,0,0,0,0,1,0,7
301,302,Trevor Davis,,,WR103,,,,,,208,208,00-0032423,WR,2017,1.0,24,2016,0.093125,10.801667,0.004,163,2.2,7,5,70,11.666666666666666,2,0,2,13,2.1666666666666665,0,0,0,6
308,309,Zay Jones,ARI,9,WR104,,,,296,,268,282,00-0033891,WR,2017,1.0,22,2017,0.7913333333333334,25.901098,0.01,37,11.6,74,27,316,22.571428571428573,3,2,0,0,0,0,0,2,14
312,313,Taylor Gabriel,,,WR105,,,,333,,236,284.5,00-0031228,WR,2017,1.0,26,2014,-1,22.528624,0.037000000000000005,,0,51,33,378,23.625,4,1,8,49,3.0625,0,0,1,16
316,317,J'Mon Moore,,,WR106,,,,270,,310,290,00-0034268,WR,2017,--,22,2018,-1,--,0.004,133,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
317,318,Brandon Zylstra,,,WR107,,,,,,239,239,00-0034052,WR,2017,--,24,2018,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,320,Jake Kumerow,,,WR108,,,,302,,291,296.5,00-0031787,WR,2017,0.3333333333333333,25,2015,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,323,Torrey Smith,,,WR109,,,,272,,324,298,00-0027996,WR,2017,0.9829059829059829,28,2011,0.643125,29.431625,0.03,58,8.7,68,36,430,26.875,6,2,1,-3,-0.1875,0,0,2,16
324,325,J.J. Nelson,,,WR110,,,,297,,303,300,00-0032112,WR,2017,1.0,25,2015,0.48375,38.876957,0.004,159,2.3,61,29,508,31.75,6,2,3,37,2.3125,0,1,2,16
